,Game,Release date,Company,Genres,Mean Note,Number of Vote,store
2327,Tiny Heroes,2011-09-08,,Strategy,4.4,909,apple
2331,Crashlands,2016-01-21,,"Adventure, Indie, Role-playing (RPG), Simulator",4.8,941,apple
2342,Hotel Hideaway,2016-11-29,,"Role-playing (RPG), Simulator",4.6,38000,apple
2353,PIVOTO,2017-11-06,,"Arcade, Indie, Puzzle",5.0,2,apple
2357,Tick Tock: A Tale for Two,2019-03-07,,"Adventure, Indie",4.7,68,apple
2361,Space Harrier II,1988-10-29,Sega,"Arcade, Shooter, Simulator, Strategy",4.0,64,apple
2363,Faraway 3,2018-05-01,,Puzzle,4.4,2100,apple
2368,Lightseekers,2019-01-10,,"Strategy, Tactical",4.6,239,apple
2369,Zombie Rogue,2018-04-27,,"Role-playing (RPG), Turn-based strategy (TBS)",4.5,13,apple
2372,Cat Lady,2018-11-06,,Unknow,4.6,138,apple
2375,Carnivores: Ice Age,2001-01-15,,"Shooter, Simulator, Sport",4.2,458,apple
2376,Age of Tribes,2010-02-10,,"Platform, Puzzle",4.0,1,apple
2381,Syberia II,2004-03-30,,"Adventure, Point-and-click, Puzzle",3.8,76,apple
2390,World Conqueror 3,2015-05-05,,"Simulator, Strategy, Turn-based strategy (TBS)",4.3,680,apple
2391,Alto's Adventure,2015-02-19,,"Indie, Sport",4.6,1600,apple
2398,Icewind Dale,2000-06-29,,"Role-playing (RPG), Strategy",4.2,118,apple
2400,Bitcoin Miner Farm: Clicker Game,2019-05-23,,"Arcade, Simulator",2.4,35,apple
2404,Alto's Odyssey,2018-02-21,,Sport,4.4,2300,apple
2406,Barbearian,2018-08-15,,"Hack and slash/Beat 'em up, Indie",4.1,16,apple
2413,Alien: Blackout,2019-01-24,,Unknow,4.4,950,apple
2417,The Room Three,2015-11-04,,"Adventure, Indie, Point-and-click, Puzzle",4.9,29300,apple
2422,Pixel Hunter,2014-02-28,,Adventure,3.9,17,apple
2427,LEGO Star Wars: The Complete Saga,2007-11-06,Warner Bros,Adventure,4.2,12900,apple
2436,Tactical Monsters Rumble Arena,2017-11-09,,"Adventure, Indie, Role-playing (RPG), Strategy",4.7,1300,apple
2438,Super Cat Tales 2,2018-10-04,,"Indie, Platform",4.8,955,apple
2442,Bleach: Brave Souls,2015-07-23,,Hack and slash/Beat 'em up,4.5,8900,apple
2446,Plug & Play,2015-02-02,,"Adventure, Indie, Puzzle",4.1,366,apple
2458,Sigils of Elohim,2014-10-13,,"Indie, Puzzle, Strategy",5.0,1,apple
2469,Dracula 4: The Shadow of the Dragon,2013-06-18,,"Adventure, Point-and-click",3.7,6,apple
2473,Cube Escape: Harvey's Box,2015-06-01,,"Adventure, Puzzle",4.8,481,apple
2475,Talisman: Digital Edition,2011-03-09,,"Indie, Quiz/Trivia, Role-playing (RPG), Strategy",3.8,23,apple
2477,The Interactive Adventures of Dog Mendonça and Pizzaboy,2016-03-03,,"Adventure, Indie, Point-and-click, Puzzle",4.0,35,apple
2479,Dragon Ball Legends,2018-05-21,Bandai Namco,"Arcade, Fighting",4.8,335400,apple
2496,Pocket Rogues,2017-11-30,,"Indie, Role-playing (RPG)",4.5,95,apple
2504,Score! Hero,2015-08-05,,"Arcade, Sport",4.7,221000,apple
2508,Ticket To Ride,2008-06-25,,"Adventure, Indie, Quiz/Trivia, Strategy, Turn-based strategy (TBS)",4.6,8900,apple
2514,XCOM: Enemy Within,2013-11-12,,"Strategy, Turn-based strategy (TBS)",4.3,4500,apple
2527,PES Club Manager,2015-06-03,Konami,"Simulator, Sport",4.3,2800,apple
2541,Angry Birds Blast!,2016-12-21,,"Arcade, Puzzle",4.6,32000,apple
2543,PewDiePie's Tuber Simulator,2016-09-28,,Simulator,4.9,167800,apple
2545,Orc Dungeon,2019-02-14,,Turn-based strategy (TBS),4.6,16,apple
2549,Battle Supremacy - Evolution,2015-12-29,,"Arcade, Simulator",3.2,214,apple
2552,Tony Hawk's Skate Jam,2018-12-13,,"Arcade, Sport",4.4,350,apple
2556,Mutant Mudds,2012-01-26,,"Adventure, Indie, Platform",4.0,69,apple
2579,REKT!,2017-10-01,,"Arcade, Indie, Racing, Sport",4.2,219,apple
2601,Yu-Gi-Oh! Duel Links,2016-11-17,Konami,"Quiz/Trivia, Strategy, Turn-based strategy (TBS)",4.8,58500,apple
2604,Teeny Titans,2016-06-23,,Unknow,4.5,2500,apple
2607,Legend of the Skyfish,2016-08-18,,"Adventure, Indie, Platform, Puzzle",3.0,2,apple
2621,WorldNeverland - Elnea Kingdom,2015-05-26,,"Role-playing (RPG), Simulator",4.5,890,apple
2622,Galaxy of Pen and Paper,2017-07-27,,"Indie, Role-playing (RPG)",3.9,101,apple
2634,Farming Simulator 18,2017-06-06,,"Simulator, Strategy",4.3,1500,apple
2635,Lemmings,2018-12-20,,Platform,4.6,3600,apple
2646,Super Mario Run,2016-09-07,Nintendo,"Arcade, Platform",3.6,4300,apple
2651,Hidden City: Hidden Object Adventure,2014-02-20,,"Adventure, Puzzle",4.2,65099,apple
2655,Super Fancy Pants Adventure,2017-09-20,,"Adventure, Arcade, Indie, Platform",4.1,217,apple
2657,Snuggle Truck,2011-04-22,,"Indie, Racing",4.1,134,apple
2674,Shroom Snatchers,2018-10-04,,Arcade,5.0,3,apple
2683,Archlion Saga,2017-12-19,,"Adventure, Role-playing (RPG)",4.7,30,apple
2704,Mysterium,2017-01-12,,"Indie, Racing, Simulator, Strategy",4.3,214,apple
2727,Rebuild 3: Gangs of Deadsville,2015-04-05,,"Indie, Simulator, Strategy",4.6,199,apple
2728,Grand Theft Auto: Chinatown Wars,2009-03-17,,"Adventure, Shooter",3.7,572,apple
2738,Spelltower,2011-11-17,,Puzzle,3.4,106,apple
2749,Modern Combat Versus,2017-09-27,,Adventure,4.7,75000,apple
2750,Z Buster,2016-11-30,,Shooter,4.3,62,apple
2754,Icebreaker: A Viking Voyage,2013-06-14,,"Arcade, Puzzle",4.3,159,apple
2761,Oh...Sir! The Hollywood Roast,2017-05-31,,"Adventure, Arcade, Indie, Simulator",4.7,23,apple
2762,Angry Birds 2,2011-12-31,,"Arcade, Puzzle",4.6,731000,apple
2765,Fotonica,2014-09-11,,"Arcade, Indie, Music, Pinball, Platform",4.2,57,apple
2781,Old Man's Journey,2017-05-18,,"Adventure, Indie, Puzzle",4.4,1700,apple
2787,Behind The Screen,2018-04-03,,"Adventure, Puzzle",4.4,11,apple
2794,Gorogoa,2017-12-14,,"Adventure, Indie, Puzzle",4.6,1800,apple
2795,Machinarium,2009-10-16,,"Adventure, Indie, Point-and-click, Puzzle",4.4,536,apple
2816,Getting Over It with Bennett Foddy,2017-12-06,,"Indie, Simulator",4.2,2500,apple
2818,Badland 2,2015-12-17,,"Adventure, Platform, Puzzle",4.6,518,apple
2827,Toon Blast,2017-03-03,,"Arcade, Puzzle",4.7,1,apple
2830,Polar Rollout,2018-04-28,,"Indie, Puzzle",4.5,248,apple
2832,Puzzle Retreat,2013-03-03,,Puzzle,4.8,188,apple
2833,Evolution 2: Battle for Utopia,2019-05-13,,Shooter,4.7,506,apple
2853,Extreme Demolition,2013-04-19,,Racing,4.3,26,apple
2863,Always Sometimes Monsters,2014-05-21,,"Adventure, Indie, Role-playing (RPG), Simulator",3.9,21,apple
2873,Monster Energy Supercross - The Official Videogame,2018-02-08,,"Arcade, Racing, Simulator, Sport",4.7,8200,apple
2884,Flame Glow,2018-05-12,,Unknow,5.0,1,apple
2898,Dig Dog,2018-02-06,,"Adventure, Indie, Platform",4.7,100,apple
2904,Temple Run 2,2013-01-17,,"Adventure, Platform",4.5,283000,apple
2909,The Eyes of Ara,2016-07-19,,"Adventure, Indie, Point-and-click, Puzzle",4.6,1700,apple
2917,Prison Life RPG,2015-03-31,,Role-playing (RPG),4.6,151,apple
2923,Emily Wants to Play Too,2017-12-13,,"Adventure, Indie, Puzzle, Simulator, Strategy",4.3,229,apple
2927,Spicy Piggy,2019-02-14,,"Indie, Platform",3.8,46,apple
2930,Kicking King,2017-02-16,,Sport,5.0,1,apple
2936,The Escapists,2015-02-13,,"Adventure, Indie, Puzzle, Role-playing (RPG), Simulator, Strategy",4.4,2800,apple
2940,Train Conductor 2: USA,2010-01-01,,Simulator,3.9,99,apple
2949,Trigger Heroes,2018-10-31,,"Indie, Shooter",4.6,1500,apple
2957,Deemo,2013-11-13,,"Adventure, Music",4.9,3600,apple
2969,Archero,2019-03-23,,"Indie, Shooter",4.5,4000,apple
2970,Thor: War of Tapnarok,2019-01-28,,Unknow,4.4,774,apple
2972,Spiral Splatter,2016-02-24,,"Arcade, Indie, Puzzle",4.2,5,apple
2975,LoL Kart,2018-01-10,,"Arcade, Racing",4.4,3200,apple
2990,Draw a Stickman: EPIC 2,2015-07-09,,"Adventure, Indie, Puzzle, Role-playing (RPG)",4.6,1700,apple
3007,The Sailor's Dream,2014-11-06,,Puzzle,3.6,91,apple
3008,Revue Starlight Re LIVE,2017-10-28,,"Adventure, Role-playing (RPG)",4.8,2600,apple
3017,Evolution: The Video Game,2019-02-12,,Strategy,4.7,2900,apple
3031,Hungry Dragon,2018-08-30,Ubisoft,Arcade,4.7,3700,apple
3042,Marvel Future Fight,2015-03-04,Netmarble,Role-playing (RPG),4.4,36800,apple
3070,Naruto x Boruto: Ninja Voltage,2017-11-21,Bandai Namco,"Role-playing (RPG), Strategy, Tactical",4.7,42700,apple
3077,Doom,1993-12-10,,Shooter,3.7,1400,apple
3078,Oh...Sir!! The Insult Simulator,2016-10-25,,"Arcade, Indie, Simulator",4.5,58,apple
3085,LEGO Star Wars: The Force Awakens,2016-06-28,Warner Bros,"Adventure, Hack and slash/Beat 'em up, Puzzle",3.9,5300,apple
3089,Cooking Fever,2014-08-19,,"Arcade, Strategy",4.5,145500,apple
3099,8 Ball Pool,2013-01-24,,"Simulator, Sport, Strategy",4.7,1,apple
3103,Kitten Squad,2015-09-15,,"Indie, Shooter",3.2,84,apple
3108,Dawn of Titans,2015-03-11,,Strategy,4.6,838,apple
3109,Batman: The Enemy Within,2017-08-08,,"Adventure, Point-and-click",5.0,2,apple
3132,StormBorn: War of Legends,2015-11-16,,Role-playing (RPG),4.7,322,apple
3135,Battleheart Legacy,2014-05-28,,"Adventure, Indie, Role-playing (RPG)",4.7,759,apple
3136,Planet Squirrel,2018-03-13,,"Adventure, Indie, Platform",3.0,2,apple
3147,Poly Bridge,2016-07-12,,"Indie, Puzzle, Simulator",4.8,12300,apple
3149,The Adventures of Bertram Fiddle: Episode 1 - A Dreadly Business,2014-12-11,,"Adventure, Indie, Point-and-click, Strategy",4.3,27,apple
3150,Jetpack Jump,2019-05-13,,"Arcade, Indie",4.4,74800,apple
3163,Terra Mystica,2017-04-20,,"Indie, Strategy",3.5,59,apple
3164,Chicken Invaders: The Next Wave Christmas Edition,2004-11-15,,Unknow,4.3,12,apple
3167,Element,2015-12-14,,"Indie, Strategy",4.6,274,apple
3168,Pocket Pursuit,2018-12-07,,Arcade,5.0,5,apple
3169,Emily Wants To Play,2015-12-10,,"Adventure, Indie, Puzzle, Simulator, Strategy",3.1,187,apple
3172,Goblin Sword,2014-09-11,,"Adventure, Platform, Role-playing (RPG)",4.7,1100,apple
3174,Critical Ops,2016-01-01,,"Adventure, Shooter",4.5,16600,apple
3181,Full Pipe,2006-12-18,,"Adventure, Point-and-click, Puzzle",4.2,16,apple
3182,Donut County,2018-08-28,,"Adventure, Indie, Puzzle",3.9,2100,apple
3187,Metro 2033: Wars,2014-09-08,,Unknow,3.7,11,apple
3193,Galaxy on Fire 3 - Manticore,2016-12-08,,Shooter,4.2,3800,apple
3196,Party in my Dorm,2010-12-22,,"Role-playing (RPG), Simulator",4.5,10100,apple
3198,Goat Simulator GoatZ,2015-05-07,,Simulator,4.3,797,apple
3204,Antihero,2017-07-10,,"Indie, Strategy",4.6,27,apple
3252,Animal Crossing: Pocket Camp,2017-10-25,Nintendo,Simulator,4.8,27800,apple
3265,Best Rally,2018-07-05,,Racing,4.3,3500,apple
3267,Blades of Brim,2015-06-04,,"Adventure, Arcade",4.8,3800,apple
3271,Love 365: Find Your Story,2017-06-01,,"Simulator, Visual Novel",3.9,1200,apple
3284,Deer Hunter 2018,2015-01-01,,"Point-and-click, Shooter",4.7,58700,apple
3285,Stray Cat Doors,2018-02-28,,"Adventure, Puzzle",4.8,650,apple
3286,Metal Slug Infinity,2019-04-15,,Role-playing (RPG),4.7,5100,apple
3292,Aqueducts,2017-06-30,,Puzzle,4.8,72,apple
3300,Injustice 2 Mobile,2017-05-09,Warner Bros,"Fighting, Role-playing (RPG), Turn-based strategy (TBS)",4.6,89700,apple
3308,Rome: Total War - Alexander,2006-06-19,,"Simulator, Strategy, Tactical, Turn-based strategy (TBS)",4.7,646,apple
3317,HeliHopper,2018-01-11,,Platform,4.2,661,apple
3341,RollerCoaster Tycoon Touch,2017-02-22,,"Simulator, Strategy",4.6,58000,apple
3342,Ritual: Sorcerer Angel,2019-06-14,,"Indie, Role-playing (RPG)",4.2,20,apple
3343,Kingdom: New Lands,2016-08-09,,"Arcade, Indie, Simulator, Strategy",4.6,1000,apple
3346,Ire: Blood Memory,2015-05-19,,"Adventure, Role-playing (RPG)",3.9,275,apple
3351,Dungeon Hunter 5,2015-03-11,,"Adventure, Hack and slash/Beat 'em up, Role-playing (RPG)",4.7,23100,apple
3368,Limbo,2010-07-21,,"Adventure, Indie, Platform, Puzzle",4.6,2200,apple
3369,Last Day on Earth: Survival,2017-05-25,,"Adventure, Hack and slash/Beat 'em up, Role-playing (RPG), Simulator, Strategy",4.5,39400,apple
3374,Minecraft,2011-10-07,,"Adventure, Arcade, Indie, Simulator, Strategy",4.5,299800,apple
3380,Doom II RPG,2009-11-23,,"Role-playing (RPG), Shooter, Tactical",3.0,1500,apple
3384,Piece Out,2017-08-16,,Puzzle,4.4,48,apple
3392,Towelfight 2: The Monocle of Destiny,2013-02-26,,Unknow,4.8,265,apple
3394,Cube Escape: The Lake,2015-04-01,,"Adventure, Puzzle",4.8,568,apple
3398,Dash Quest Heroes,2017-12-14,,"Adventure, Indie, Role-playing (RPG)",4.4,2700,apple
3402,Year Walk,2013-02-21,,"Adventure, Indie, Point-and-click, Puzzle, Role-playing (RPG)",4.2,287,apple
3404,DROP NOT!,2017-04-05,,Puzzle,4.2,20,apple
3421,Shadowgun Legends,2018-03-21,,"Role-playing (RPG), Shooter",4.8,81200,apple
3440,Perfect Angle,2015-12-22,,Puzzle,4.4,11,apple
3478,DEAD TRIGGER 2,2013-10-23,,Shooter,4.7,47200,apple
3485,Caravan War,2018-01-02,,"Indie, Strategy",4.7,738,apple
3502,Pokémon Quest,2018-05-29,,"Adventure, Strategy",4.3,10800,apple
3509,Doggins,2014-03-05,,Puzzle,3.8,35,apple
3510,Heroes of Dragon Age,2013-12-05,ELECTRONIC ARTS,"Role-playing (RPG), Strategy",4.5,1900,apple
3531,Planescape: Torment,1999-12-12,,"Real Time Strategy (RTS), Role-playing (RPG), Strategy",4.1,78,apple
3545,Super Spell Heroes,2018-08-20,,"Fighting, Puzzle, Strategy",4.5,465,apple
3547,Elder Sign: Omens,2011-03-11,,"Adventure, Indie, Quiz/Trivia, Strategy",3.5,36,apple
3550,Grand Theft Auto: Liberty City Stories,2005-10-25,,"Adventure, Racing",4.3,3000,apple
3553,Blek,2013-12-03,,Puzzle,4.0,284,apple
3562,Reigns: Her Majesty,2017-12-07,,"Indie, Role-playing (RPG), Simulator, Strategy",4.8,13100,apple
3568,Part Time UFO,2017-11-14,,"Adventure, Arcade",4.9,2400,apple
3571,Rusty Lake Paradise,2018-01-11,,"Adventure, Indie, Puzzle",4.7,1300,apple
3604,MELOPAD,2017-08-19,,"Indie, Music",3.4,5,apple
3614,Alvastia Chronicles,2018-01-30,,"Adventure, Indie, Role-playing (RPG)",4.7,33,apple
3631,Like a Boss,2017-12-12,,Role-playing (RPG),4.4,227,apple
3635,Up Golf,2018-03-27,,"Indie, Sport",4.8,11,apple
3641,Cosmic Express,2017-03-16,,"Indie, Puzzle",4.8,123,apple
3645,Technobabylon,2015-05-21,,"Adventure, Indie, Point-and-click",4.8,43,apple
3658,Devil's Attorney,2012-10-11,,"Adventure, Strategy, Turn-based strategy (TBS)",4.8,716,apple
3660,Enigmata: Stellar War,2018-06-04,,"Adventure, Indie",4.9,145,apple
3661,This War of Mine,2014-11-14,,"Adventure, Indie, Simulator, Strategy",4.8,16,apple
3664,"Warhammer 40,000: Deathwatch Tyranids Invasion",2015-07-16,,"Role-playing (RPG), Strategy, Turn-based strategy (TBS)",4.0,4500,apple
3670,Plants vs. Zombies,2009-05-05,ELECTRONIC ARTS,"Puzzle, Real Time Strategy (RTS), Strategy, Tactical",4.8,295000,apple
3673,Lifeline,2015-04-20,,"Adventure, Indie, Role-playing (RPG), Strategy",4.5,2500,apple
3674,Grand Theft Auto: San Andreas,2004-10-26,,"Adventure, Racing, Shooter, Sport",4.6,36700,apple
3685,Phoenix Wright: Ace Attorney − Spirit of Justice,2016-06-09,,"Adventure, Point-and-click, Puzzle, Role-playing (RPG), Visual Novel",4.2,165,apple
3693,Rope Around,2019-05-14,,"Indie, Puzzle",4.6,117,apple
3706,Evergarden,2018-08-16,,"Adventure, Indie, Puzzle",4.3,66,apple
3714,Roterra – Flip the Fairytale,2019-01-31,,"Indie, Puzzle",5.0,10,apple
3745,Ulterior,2016-05-18,,"Indie, Puzzle",3.6,144,apple
3764,Plague Inc.,2012-05-26,,"Real Time Strategy (RTS), Simulator, Strategy, Tactical",4.8,102900,apple
3766,Dawn of Isles,2019-05-30,NetEase,"Adventure, Role-playing (RPG)",4.2,1200,apple
3777,Blendoku 2,2015-11-19,,"Indie, Puzzle",4.8,1600,apple
3778,Rusty Lake: Roots,2016-10-20,,"Adventure, Indie, Point-and-click, Puzzle",4.8,632,apple
3785,Farming Simulator 16,2015-08-05,,"Simulator, Strategy",4.4,315,apple
3791,Red's Kingdom,2017-01-19,,"Adventure, Indie, Puzzle",4.2,14,apple
3792,The Company Game,2018-09-06,,"Indie, Puzzle",4.8,30,apple
3793,1-Bit Rogue,2016-10-20,,"Indie, Role-playing (RPG)",4.5,459,apple
3813,Split Masters,2016-07-01,,Unknow,3.9,2000,apple
3817,Reignman,2018-05-03,,"Adventure, Indie, Strategy",3.3,9,apple
3821,Sdorica -sunset-,2018-04-19,,"Role-playing (RPG), Turn-based strategy (TBS)",4.7,748,apple
3875,Bowmasters,2016-08-17,,"Arcade, Shooter, Turn-based strategy (TBS)",4.6,1,apple
3880,Rise of Kingdoms,2018-09-21,,Strategy,4.4,2300,apple
3881,Words with Friends 2,2017-11-07,,Puzzle,4.7,497400,apple
3888,Vainglory,2014-11-16,,"Adventure, Real Time Strategy (RTS), Role-playing (RPG), Strategy",4.7,51500,apple
3895,Flip Man!,2019-05-21,,Arcade,4.6,13600,apple
3904,SIMULACRA,2017-10-26,,"Adventure, Indie, Role-playing (RPG), Simulator",4.9,3500,apple
3906,Warhammer Quest,2013-05-30,,"Adventure, Role-playing (RPG), Strategy, Turn-based strategy (TBS)",3.8,191,apple
3907,Surgeon Simulator 2013,2013-04-19,,"Indie, Role-playing (RPG), Simulator",3.9,770,apple
3917,Passpartout: The Starving Artist,2017-06-06,,"Indie, Simulator",4.7,1700,apple
3919,The House of da Vinci,2017-06-22,,"Adventure, Indie, Puzzle, Strategy",4.8,17300,apple
3927,Overkill Mafia,2014-04-18,,"Shooter, Tactical",3.2,86,apple
3932,Atomas,2015-02-24,,Puzzle,4.8,1700,apple
3940,Asphalt Street Storm Racing,2016-12-21,,Racing,4.6,7500,apple
3942,Saint Seiya: Cosmo Fantasy,2017-11-27,Bandai Namco,Unknow,4.0,1000,apple
3955,Mercenaries Saga 2,2010-01-01,,"Role-playing (RPG), Strategy, Tactical, Turn-based strategy (TBS)",4.9,27,apple
3979,Pokémon: Magikarp Jump,2017-05-23,,Simulator,4.8,18300,apple
3983,Guns of Boom,2017-05-16,,Shooter,4.7,171500,apple
3989,Talisman: The Horus Heresy,2016-02-22,,"Quiz/Trivia, Strategy",3.2,15,apple
3999,The Swords,2016-02-08,,Unknow,4.2,10,apple
4014,Keno Prime,2017-10-26,,Strategy,4.6,65,apple
4015,Table Tennis Touch,2014-05-15,,"Arcade, Sport",4.3,2800,apple
4021,Faraway 2,2018-05-01,,"Adventure, Puzzle",4.5,1200,apple
4030,Evoland,2013-04-04,,"Adventure, Indie, Role-playing (RPG)",4.2,265,apple
4032,SHI•RO,2018-07-16,,"Indie, Puzzle",4.7,32,apple
4037,The Curse of the Mushroom King,2016-01-14,,"Adventure, Point-and-click",4.5,17,apple
4038,I Wanna Fly,2016-08-17,,"Arcade, Indie",5.0,1,apple
4073,Death Road to Canada,2016-07-21,,"Indie, Role-playing (RPG)",4.7,1000,apple
4075,Wall Kickers,2018-09-06,,"Indie, Platform",4.7,84,apple
4076,Reigns,2016-08-10,,"Adventure, Indie, Role-playing (RPG), Simulator, Strategy",4.8,7500,apple
4083,Riptide GP: Renegade,2016-07-26,,Racing,4.6,578,apple
4087,Arcaea,2017-03-09,,Music,4.8,5400,apple
4088,Wholesome Cats,2018-10-27,,"Adventure, Role-playing (RPG)",3.9,104,apple
4095,Alchemic Dungeons,2015-06-20,,"Role-playing (RPG), Strategy",4.1,7,apple
4098,Drop7,2009-01-01,,"Puzzle, Shooter",4.3,3600,apple
4100,Star Traders: Frontiers,2017-11-14,,Role-playing (RPG),4.7,374,apple
4112,San Juan,2012-01-01,,Unknow,4.7,528,apple
4114,Lanota,2016-07-12,,Music,4.9,84,apple
4125,Day of the Tentacle Remastered,2016-03-22,,"Adventure, Point-and-click",4.7,150,apple
4147,EA Sports UFC,2014-06-17,,"Fighting, Simulator, Sport",4.7,49700,apple
4151,Secret Kingdom Defenders,2018-01-25,,Strategy,4.6,669,apple
4160,Fun Run 3: Arena Running Game,2016-11-30,,"Racing, Sport",4.8,124200,apple
4167,Runt of the Litter,2017-02-23,,"Adventure, Indie, Role-playing (RPG)",4.6,32,apple
4179,Lake Kindred Origin,2018-09-21,,Indie,4.7,589,apple
4182,Honkai Impact 3rd,2016-10-14,,"Hack and slash/Beat 'em up, Role-playing (RPG), Strategy",4.8,22800,apple
4184,Pathfinder Adventures,2016-04-26,,"Role-playing (RPG), Strategy, Turn-based strategy (TBS)",3.9,481,apple
4185,Break It - Cube Smash,2018-06-15,,Arcade,4.8,4,apple
4190,Secret of Mana,1993-08-06,Square Enix,Role-playing (RPG),2.8,237,apple
4192,Questland: Turn Based RPG,2017-08-31,,Role-playing (RPG),4.9,1600,apple
4197,Battlelands Royale,2018-03-31,,Fighting,4.5,2800,apple
4201,Breach & Clear,2013-07-17,,"Role-playing (RPG), Shooter, Simulator, Strategy, Tactical",4.6,2700,apple
4212,Million Onion Hotel,2017-11-01,,Unknow,4.8,140,apple
4225,VVVVVV,2010-01-11,,"Adventure, Arcade, Indie, Platform, Puzzle",4.4,114,apple
4245,Dust: An Elysian Tail,2012-08-15,,"Adventure, Hack and slash/Beat 'em up, Indie, Platform, Role-playing (RPG)",4.8,81,apple
4296,Cube Escape: Theatre,2016-04-11,,"Adventure, Puzzle",4.9,629,apple
4297,Colt Express,2016-11-17,,"Strategy, Turn-based strategy (TBS)",4.3,68,apple
4303,Trism,2007-01-01,,Puzzle,4.4,128,apple
4304,Warp Shift,2016-05-26,,Puzzle,4.5,1400,apple
4321,God of Light,2014-02-20,,"Puzzle, Simulator",5.0,1,apple
4337,Geometry Dash,2013-08-13,,"Arcade, Indie, Music, Platform",4.7,56800,apple
4348,Classic British Motor Racing,2008-01-02,,"Racing, Simulator",4.9,161900,apple
4372,Final Fantasy VI,1994-04-02,Square Enix,"Adventure, Role-playing (RPG)",4.3,1100,apple
4378,Mini Metro,2015-10-22,,"Indie, Puzzle, Simulator, Strategy",4.9,19700,apple
4379,Photographs: Puzzle Stories,2019-02-28,,Puzzle,4.2,57,apple
4383,Lords Mobile,2016-03-01,,"Real Time Strategy (RTS), Role-playing (RPG), Strategy",4.3,55100,apple
4384,Drive Ahead!,2015-05-14,,"Arcade, Fighting, Racing",4.6,69200,apple
4385,DragonVale,2011-09-14,,Simulator,4.7,67200,apple
4390,Dead Ahead: Zombie Warfare,2017-03-08,,Strategy,4.6,22300,apple
4403,Sword Art Online: Memory Defrag,2017-01-24,Bandai Namco,Unknow,4.8,19500,apple
4406,MLB 9 Innings 18,2018-03-29,,Sport,4.2,1000,apple
4421,Super Cat Tales,2017-11-17,,"Indie, Platform",4.8,2400,apple
4426,EGGLIA: Legend of the Redcap Offline,2018-08-16,,"Role-playing (RPG), Turn-based strategy (TBS)",3.6,28,apple
4429,Space Frontier 2,2018-05-09,,Arcade,4.6,3300,apple
4451,Twinfold,2018-12-12,,"Indie, Strategy",4.8,244,apple
4452,Power Hover,2015-12-10,,"Adventure, Indie, Racing",4.3,51,apple
4453,Shadowmatic,2015-01-14,,Puzzle,4.8,1500,apple
4457,RainbowTail,2017-10-10,,"Indie, Puzzle",3.5,13,apple
4458,Harry Potter: Hogwarts Mystery,2018-04-25,,"Adventure, Point-and-click, Role-playing (RPG)",4.6,12100,apple
4462,Walls & Balls,2016-06-01,,"Arcade, Indie",4.5,8,apple
4464,Card Crawl,2015-01-01,,"Indie, Turn-based strategy (TBS)",4.8,562,apple
4473,Super Hexagon,2012-08-31,,"Arcade, Indie, Music",4.5,2100,apple
4474,Mr Love: Queen's Choice,2017-12-20,,"Adventure, Simulator, Visual Novel",4.8,14300,apple
4475,Faraway: Puzzle Escape,2017-05-01,,Puzzle,4.5,1300,apple
4490,Beholder,2016-11-09,,"Adventure, Indie, Role-playing (RPG), Simulator, Strategy",4.8,1200,apple
4491,Meteorfall: Journey,2018-01-24,,"Indie, Role-playing (RPG), Strategy",4.6,403,apple
4506,Pursuit of Light,2015-02-11,,Arcade,4.4,218,apple
4510,Beast Battle Simulator,2017-08-23,,"Indie, Role-playing (RPG), Simulator, Sport, Strategy",1.4,9,apple
4519,Dragon Sinker,2016-10-12,,"Adventure, Indie, Role-playing (RPG)",4.6,183,apple
4521,The Room: Old Sins,2018-01-25,,"Adventure, Point-and-click, Puzzle",4.9,27700,apple
4534,Sky Gamblers: Storm Raiders 2,2018-11-15,,"Arcade, Simulator",4.0,183,apple
4535,PAC-MAN 256,2015-08-19,Bandai Namco,"Arcade, Puzzle, Strategy",4.6,10200,apple
4556,Rise Up,2018-03-20,,"Adventure, Arcade, Indie",4.4,786100,apple
4566,Lit the Torch,2017-02-14,,"Adventure, Indie, Platform, Puzzle",4.7,35,apple
4575,Data Wing,2017-08-16,,Racing,4.9,18000,apple
4581,Tome of Heroes,2017-04-09,,Role-playing (RPG),4.3,3,apple
4584,Attack the Light!,2015-04-02,,"Adventure, Role-playing (RPG), Tactical",4.7,3600,apple
4627,Train Conductor World,2016-03-03,,Simulator,4.7,2300,apple
4644,MapleStory M,2018-01-22,Nexon,Role-playing (RPG),4.6,21300,apple
4649,Cube Escape: Case 23,2015-07-01,,"Adventure, Puzzle",4.8,549,apple
4655,Sky: Children of the Light,2019-07-11,,"Adventure, Puzzle",4.5,756,apple
4662,Game Dev Story,1996-04-01,,"Simulator, Strategy",4.6,237,apple
4666,Oddmar,2018-04-04,,"Adventure, Platform",4.8,1100,apple
4679,Orbia,2018-03-11,,Arcade,4.8,1200,apple
4682,Axe.io,2018-05-02,,Arcade,4.5,832,apple
4686,Coin Master,2010-12-11,,"Adventure, Arcade",4.6,249400,apple
4690,Majotori,2017-03-28,,"Adventure, Indie, Quiz/Trivia",3.9,16,apple
4716,Quell,2010-08-07,,"Indie, Puzzle",4.9,395,apple
4718,Triangul8,2018-12-15,,"Indie, Puzzle, Strategy",4.7,22,apple
4731,Breakforcist,2017-03-01,,"Arcade, Indie",4.0,4,apple
